Group,Start,End
1,2025-09-15 20:30:24,2025-09-15 20:30:24
1,2025-09-15 20:30:24,2025-09-15 20:30:25
1,2025-09-15 20:30:24,2025-09-15 20:30:26
1,2025-09-15 20:30:24,2025-09-15 20:30:27
1,2025-09-15 20:30:24,2025-09-15 20:30:28
1,2025-09-15 20:30:24,2025-09-15 20:30:29
1,2025-09-15 20:30:24,2025-09-15 20:30:30
2,2025-09-15 20:30:39,2025-09-15 20:30:39
2,2025-09-15 20:30:39,2025-09-15 20:30:40
2,2025-09-15 20:30:39,2025-09-15 20:30:41
2,2025-09-15 20:30:39,2025-09-15 20:30:42
2,2025-09-15 20:30:39,2025-09-15 20:30:43
2,2025-09-15 20:30:39,2025-09-15 20:30:44
2,2025-09-15 20:30:39,2025-09-15 20:30:45
2,2025-09-15 20:30:39,2025-09-15 20:30:46
2,2025-09-15 20:30:39,2025-09-15 20:30:47
2,2025-09-15 20:30:39,2025-09-15 20:30:48
2,2025-09-15 20:30:39,2025-09-15 20:30:49
2,2025-09-15 20:30:39,2025-09-15 20:30:50
3,2025-09-15 20:30:53,2025-09-15 20:30:53
3,2025-09-15 20:30:53,2025-09-15 20:30:54
